Local time in OR Tambo (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
09.01.2022 19:30,20,626.7,765.8,56,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,11
09.01.2022 19:00,21,627.1,765.8,53,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,11
09.01.2022 18:30,21,627.1,765.8,57,Wind blowing from the north,5,,,,No Significant Clouds,10.0 and more,12
09.01.2022 18:00,21,626.5,765,57,Wind blowing from the north,6,,,,No Significant Clouds,10.0 and more,12
09.01.2022 17:30,21,626.5,765,57,Wind blowing from the north-northeast,7,,,,Few clouds (10-30%) 1350 m,10.0 and more,12
09.01.2022 17:00,22,626.9,765,57,Wind blowing from the north-east,4,,,,Few clouds (10-30%) 1350 m,10.0 and more,13
09.01.2022 16:30,23,627.3,765,53,Wind blowing from the north-northeast,4,,,,Few clouds (10-30%) 1350 m,10.0 and more,13
09.01.2022 16:00,25,628.2,765,51,Wind blowing from the north-east,5,,,,No Significant Clouds,10.0 and more,14
09.01.2022 15:30,23,628,765.8,53,Wind blowing from the north-east,5,,,,No Significant Clouds,10.0 and more,13
09.01.2022 15:00,25,628.8,765.8,47,Wind blowing from the north-east,5,,,,No Significant Clouds,10.0 and more,13
09.01.2022 14:00,23,628.6,766.6,50,Wind blowing from the north-northeast,4,,,,No Significant Clouds,10.0 and more,12
09.01.2022 13:30,23,628.6,766.6,50,Wind blowing from the north-east,6,,,,Scattered clouds (40-50%) 1470 m,10.0 and more,12
09.01.2022 13:00,22,628.2,766.6,53,Wind blowing from the north-east,4,,,,Broken clouds (60-90%) 1470 m,10.0 and more,12
09.01.2022 12:30,23,629.2,767.3,53,Wind blowing from the north-east,4,,,,Scattered clouds (40-50%) 1350 m,10.0 and more,13
09.01.2022 12:00,23,629.2,767.3,53,Wind blowing from the east-northeast,4,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,13
09.01.2022 11:30,22,628.8,767.3,57,Wind blowing from the north-east,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13
09.01.2022 11:00,21,629,768.1,60,Wind blowing from the north-east,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,13
09.01.2022 10:30,20,628.6,768.1,64,Wind blowing from the east-northeast,4,,,,Broken clouds (60-90%) 750 m,10.0 and more,13
09.01.2022 10:00,20,628.6,768.1,69,Wind blowing from the north-east,3,,,,Broken clouds (60-90%) 750 m,10.0 and more,14
09.01.2022 09:30,19,628.8,768.9,73,Wind blowing from the north-east,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,14
09.01.2022 09:00,19,628.8,768.9,73,Wind blowing from the north,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,14
09.01.2022 08:30,17,628,768.9,83,Wind blowing from the north-northeast,4,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 600 m",10.0 and more,14
09.01.2022 08:00,16,627.5,768.9,88,Wind blowing from the north-east,4,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 600 m",10.0 and more,14
09.01.2022 07:30,15,627.1,768.9,88,Wind blowing from the north-northeast,4,,,,Scattered clouds (40-50%) 600 m,10.0 and more,13
09.01.2022 07:00,15,627.1,768.9,88,Wind blowing from the north-northeast,4,,,,Few clouds (10-30%) 600 m,10.0 and more,13
09.01.2022 06:30,15,626.4,768.1,88,Wind blowing from the north-east,3,,,,Few clouds (10-30%) 600 m,10.0 and more,13
09.01.2022 06:00,15,627.1,768.9,88,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,13
09.01.2022 05:30,15,626.4,768.1,88,Wind blowing from the east-northeast,4,,,,No Significant Clouds,10.0 and more,13
09.01.2022 05:00,15,626.4,768.1,88,Wind blowing from the east,4,,,,"Few clouds (10-30%) 240 m, broken clouds (60-90%) 450 m",10.0 and more,13
09.01.2022 04:30,15,627.1,768.9,94,Wind blowing from the east-northeast,3,,,,"Few clouds (10-30%) 240 m, broken clouds (60-90%) 450 m",10.0 and more,14
09.01.2022 04:00,15,627.1,768.9,94,Wind blowing from the east,4,,,,"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 750 m",10.0 and more,14
09.01.2022 03:00,14,626.6,768.9,94,Wind blowing from the east-northeast,3,,,,Few clouds (10-30%) 900 m,10.0 and more,13
09.01.2022 02:00,15,627.1,768.9,94,Wind blowing from the east-northeast,4,,,,Scattered clouds (40-50%) 750 m,10.0 and more,14
09.01.2022 01:00,17,628,768.9,83,Wind blowing from the north-east,3,,,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1350 m",10.0 and more,14
09.01.2022 00:00,17,628,768.9,83,Wind blowing from the north,5,,,,Few clouds (10-30%) 1350 m,10.0 and more,14
